"Name","Curriculum","FS1","KG1/FS2","KG2/Y1","G1/Y2","G2/Y3","G3/Y4","G4/Y5","G5/Y6","G6/Y7","G7/Y8","G8/Y9","G9/Y10","G10/Y11","G11/Y12","G12/Y13"
"Russian International School Dubai","Russian","","14241","14577","19358","19580","19915","20359","20695","21138","21586","21917","21182","22809","21899",""
"Sabari Indian School","CBSE","","14463","14463","14764","14764","14907","14907","16698","16698","16698","16307","16307","","",""
"Safa British School","British","26834","40115","40115","40115","40115","40115","40115","40115","","","","","","",""
"Safa Community School","British","48692","48692","50764","50764","50764","52836","54908","56980","67340","67340","71484","72000","74000","",""
"Salman Farsi Iranian Boys School","Iranian","","","","2422","2422","2422","2422","2422","3391","3068","3068","3391","3657","3657",""
"School of Modern Skills (SMS)","American,MOE","","15843","16528","17098","17782","18466","19150","19833","20518","21201","21886","22568","23253","26787","26787"
"Sharjah American International School,Dubai","American,MOE","","15958","18238","19378","20518","21658","22796","23937","25077","26216","27356","28497","31916","36476","39895"
"Sheffield Private School Dubai","British","21405","21405","25416","25416","25416","25416","25416","25416","30100","30100","30100","33443","33443","40365","40365"
"Smart Vision School","British","23920","28720","32720","32720","34425","34425","38175","40425","","","","","","",""
"South View School","","43000","43500","44000","44000","44000","44000","44000","44000","56500","56500","56500","61500","61500","61500","61500"
"Springdales School Dubai","CBSE","12000","19320","19320","21466","21466","24686","24686","24686","26833","26833","26833","28672","30000","30000","32000"
"St Marys Catholic School Dubai","British","","","6116","6116","6809","6809","7503","7503","8154","8154","9174","10534","10534","13138","13138"
"St. Mary Catholic High School Dubai,Al Muhaisnah","British","11000","11000","13000","13000","13000","14000","14000","14000","15000","15000","15000","","","",""
"Star International School Mirdiff","British","25500","27500","29500","29500","33500","33500","37500","37500","","","","","","",""
"Star International School,Al Twar","British","20365","23959","23959","27552","27552","31146","31146","31146","40297","40297","40297","40297","40297","",""
"Sunmarke School Dubai","British,IB,Special Needs","44900","49900","54900","54900","55900","55900","55900","55900","69900","69900","69900","71900","71900","72900","72900"
"Swiss International Scientific School in Dubai","IB","60000","67000","67000","80000","80000","80000","80000","82500","95000","95000","95000","110000","110000","",""
"The Alpha School Dubai","British","19750","19950","22280","24220","25170","25170","28000","28500","","","","","","",""
"The Aquila School","British","45000","48000","50000","50000","52000","52000","55000","55000","60000","","","","","",""
"The Arbor School","British","44800","47600","55250","55250","60350","60350","64600","64600","68000","","","","","",""
"The Arcadia Preparatory School","British","45000","51000","58650","58650","58650","58650","58650","58650","","","","","","",""
"The City School International Private","British","","13670","14910","14910","14910","14910","16150","16150","16150","16150","16150","20130","24230","",""
"The Elite English School","CBSE,Special Needs","","4389","4389","4702","4702","4952","4952","5016","5016","5329","5329","5586","6383","9347","9688"
"The English College,Dubai","British,MOE","","","","","","","","","51556","51556","51556","55931","55931","61765","61765"
"The Indian Academy Dubai","CBSE","8500","9000","9500","10500","10500","11500","11500","12500","12500","13500","13500","15000","15000","",""
"The Indian High School,Dubai","CBSE","","","","","","","","5413","6560","6560","6560","8203","8203","10253","10253"
"The Indian International School","CBSE","","9483","9483","10137","10137","10137","10137","11064","11064","12317","12862","13516","14000","",""
"The International School of Choueifat - Branch","SABIS","","23821","25453","27085","27411","27737","30022","30674","31978","34591","35895","37853","40790","44379","45359"
"The International School of Choueifat,Dubai","SABIS","","19833","21201","22569","22911","23253","24962","25646","26672","29066","30092","31802","34196","37274","37958"
"The Millennium School Dubai","CBSE","","16555","16555","19185","19185","20352","20352","21910","21910","21910","21910","22884","22884","24345","24345"
"The Philippine School Dubai","Filipino","","5956","5956","7013","7013","7013","7681","7681","7681","9128","9128","10241","10241","13100","15065"
"The School of Research Science","British","34359","36610","37944","37944","42251","42251","42251","46644","51034","55628","55628","55628","58953","64754","73769"
"The Westminster School,Dubai","British","8108","8108","9886","9886","9886","9886","9886","9886","10075","10075","12605","12605","15243","15243","15243"
"The Winchester School,Dubai","British","13542","13542","16928","16928","16928","16928","16928","18057","18057","18057","21443","24171","24171","30210","30210"
"Towheed Iranian School for Boys,Dubai","IB,Iranian","","14000","14000","14500","14500","14500","14500","14500","14500","16500","16500","16500","18500","18500","18500"
"Towheed Iranian School for Girls,Dubai","Iranian","","","","8721","8721","8721","8721","8721","9124","9124","9124","9258","9258","9258","9258"
"United International Private School","Filipino","","5059","5059","5969","5969","5969","6652","6652","6652","7505","7505","9210","9210","9666","11116"
"Universal American School","American,IB","37330","40450","45850","61120","61120","61120","61120","67880","67880","67880","67880","76670","76670","76670","76670"
"Uptown School","IB","45000","52190","52190","57500","57500","57500","57500","57500","67500","67500","67500","67500","67500","72500","72500"
"Victory Heights Primary School","British","35834","39091","42350","42350","45607","45607","48865","48865","","","","","","",""
